male,sl,supp_feed,resp_dist
1,37,0,114
2,58,0,172
3,50,0,168
4,52,1,185
5,42,0,135
6,38,0,129
7,39,1,153
8,48,1,205
9,42,1,167
10,42,0,129
11,60,0,169
12,46,1,152
13,40,1,149
14,52,1,209
15,51,1,143
16,65,1,196
17,66,0,184
18,36,0,119
19,37,1,179
20,65,0,172
21,59,0,184
22,43,1,180
23,48,0,123
24,60,0,167
25,52,1,153
26,58,1,188
27,37,1,162
28,52,0,192
29,60,0,154
30,59,1,201
31,50,1,191
32,58,1,196
33,53,0,147
34,45,0,117
35,55,1,164
36,57,0,151
37,60,0,174
38,54,1,166
39,57,0,163
40,52,1,172
41,43,0,125
42,54,0,140
43,63,0,156
44,43,0,143
45,59,1,190
46,62,1,219
47,57,1,175
48,63,0,164
