id	zone	year	multi	height	day	depth
B1	B	2002	yes	2.70	8	0.33
B10	B	2001	yes	2.00	25	0.25
B111	B	2002	no	2.00	10	0.20
B112	B	2002	no	1.90	6	0.25
B115	B	2001	no	2.10	28	0.33
B116	B	2001	no	2.50	23	0.40
B118	B	2002	no	1.90	10	0.20
B121	B	2002	yes	2.20	10	0.20
B123	B	2002	no	2.40	11	0.20
B126	B	2002	yes	2.30	7	0.33
B13	B	2002	yes	2.60	18	0.50
B141	B	2002	yes	1.50	19	0.33
B142A	B	2002	no	2.70	11	0.33
B143	B	2001	yes	2.00	32	0.25
B148	B	2002	yes	2.60	7	0.25
B149	B	2001	yes	2.80	27	0.33
B15	B	2002	yes	2.80	4	0.25
B153	B	2001	yes	3.00	23	0.25
B156	B	2002	no	2.70	17	0.50
B157	B	2001	no	1.80	28	0.33
B157	B	2002	yes	1.80	5	0.40
B158	B	2002	yes	1.70	19	0.33
B16	B	2002	no	2.30	8	0.20
B162	B	2002	no	2.00	16	0.25
B166	B	2001	no	2.00	24	0.25
B173	B	2002	no	2.50	5	0.20
B176	B	2002	yes	2.40	8	0.20
B178	B	2002	yes	2.20	8	0.33
B181	B	2002	no	1.90	10	0.25
B185	B	2002	yes	2.40	10	0.40
B187	B	2003	no	2.40	10	0.20
B195	B	2002	no	2.20	7	0.25
B196	B	2001	no	2.60	33	0.50
B2	B	2002	no	1.80	12	0.20
B20	B	2001	no	2.00	29	0.33
B204	B	2001	no	2.40	30	0.25
B211	B	2002	yes	1.90	7	0.25
B213	B	2002	yes	2.60	8	0.25
B218	B	2001	no	2.30	32	0.25
B222	B	2002	no	1.80	13	0.40
B223	B	2001	yes	2.60	32	0.33
B223	B	2002	yes	2.40	10	0.25
B228	B	2001	yes	2.60	24	0.25
B229	B	2002	no	1.90	14	0.50
B25	B	2001	no	2.30	33	0.25
B26	B	2001	yes	2.00	23	0.40
B33	B	2002	yes	1.90	12	0.40
B37	B	2002	no	1.90	18	0.33
B40	B	2001	yes	2.20	24	0.25
B40	B	2002	yes	1.90	17	0.20
B46	B	2002	no	2.10	12	0.25
B56	B	2003	yes	2.70	12	0.33
B57	B	2002	no	2.20	9	0.25
B60	B	2001	no	2.20	30	0.40
B60	B	2002	no	2.20	13	0.20
B62A	B	2002	yes	2.60	11	0.25
B63	B	2002	yes	2.60	12	0.25
B66	B	2002	yes	1.90	10	0.20
B67	B	2002	no	2.60	17	0.40
B70	B	2002	no	2.70	13	0.60
B76	B	2001	no	2.80	31	0.33
B78	B	2001	yes	2.60	27	0.50
B8	B	2002	no	2.00	11	0.25
B80	B	2001	no	1.90	33	0.25
B84	B	2001	yes	2.40	28	0.33
B87	B	2002	no	2.40	14	0.40
B90	B	2002	no	2.00	4	0.20
B93	B	2002	no	2.10	8	0.33
B96	B	2002	no	2.50	4	0.40
B99A	B	2002	no	2.20	6	0.40
C104	C	2002	no	2.20	7	0.40
C107	C	2001	no	2.80	26	0.50
C111	C	2001	no	2.20	16	0.50
C116	C	2002	yes	2.70	2	0.40
C12	C	2002	yes	2.50	7	0.50
C122	C	2002	no	2.30	10	0.40
C129	C	2002	yes	2.30	8	0.20
C132	C	2002	no	1.70	2	0.40
C135	C	2003	no	2.50	13	0.40
C136	C	2003	no	2.60	13	0.40
C137	C	2001	no	2.30	30	0.25
C137	C	2002	no	2.40	7	0.40
C14	C	2002	no	2.40	10	0.25
C146	C	2002	no	2.00	13	0.20
C152	C	2002	no	2.70	8	0.50
C155	C	2001	no	2.50	23	0.50
C155	C	2002	yes	2.50	13	0.40
C158	C	2001	no	2.50	27	0.50
C16	C	2001	yes	2.50	22	0.33
C160A	C	2001	yes	2.00	24	0.40
C160A	C	2002	yes	1.90	8	0.40
C163	C	2002	no	2.30	5	0.20
C163	C	2003	no	2.10	15	0.20
C17	C	2001	no	2.50	28	0.25
C19	C	2002	yes	2.80	5	0.40
C24	C	2002	no	2.00	5	0.20
C24A	C	2002	yes	2.40	10	0.50
C24A	C	2003	no	2.50	8	0.50
C25	C	2001	no	2.00	25	0.50
