id,sex,age,lean_mass,dive_dur
A20,1,8,77,816
A31,1,10,105,1128
A33,2,10,100,1026
A34,1,10,85,870
A35,2,7,86,810
A36,2,10,105,1008
A37,2,10,76,798
A38,2,11,88,954
A46,1,10,111,1248
A51,2,10,82,834
A57,1,6,64,804
A76,1,7,106,1002
A88,1,5,66,852
B05,2,9,95,966
B11,1,8,81,882
B141,2,11,105,1086
B25,2,9,91,876
B56,2,5,61,792
B90,1,8,105,1218
F111,1,11,110,1056
F18,2,7,75,840
F22,1,8,107,1134
F230,2,8,93,852
F38,2,6,73,738
F898,1,9,80,888
H355,1,8,74,864
H45,1,6,68,822
H66,2,7,64,756
H76,1,9,108,1212
